"year","race_key","age_key","ed_key","gender","var1","var2","var3","marital_status","death_type","overall_cause","counts","pop_total","rate"
2009,"AAPI & AI","30-34","BA",NA,"Race","Age","Education",NA,NA,"DoD",9,2313.80652203022,388.969428269355
2009,"AAPI & AI","30-34","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",7,180.180770781684,3884.98726563978
2009,"AAPI & AI","30-34","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",3,180.180770781684,1664.99454241705
2009,"AAPI & AI","30-34","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",60,775.677619829914,7735.1722501877
2009,"AAPI & AI","30-34","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",140,775.677619829914,18048.735250438
2009,"AAPI & AI","30-34","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",67,70.0729768702873,95614.6049339737
2009,"AAPI & AI","30-34","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",37,70.0729768702873,52802.0952620452
2009,"AAPI & AI","30-34","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",30,693.429825362684,4326.32097765756
2009,"AAPI & AI","30-34","Masters",NA,"Race","Age","Education",NA,NA,"DoD",9,693.429825362684,1297.89629329727
2009,"AAPI & AI","30-34","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",23,387.951560678891,5928.5751962826
2009,"AAPI & AI","30-34","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",69,387.951560678891,17785.7255888478
2009,"AAPI & AI","30-34","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",80,NA,NA
2009,"AAPI & AI","30-34","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",237,NA,NA
2009,"AAPI & AI","35-39","Associate",NA,"Race","Age","Education",NA,NA,"DoD",17,161.697514351613,10513.4578401949
2009,"AAPI & AI","35-39","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",42,161.697514351613,25974.4252522463
2009,"AAPI & AI","35-39","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",129,2640.60433567378,4885.24533029233
2009,"AAPI & AI","35-39","BA",NA,"Race","Age","Education",NA,NA,"DoD",34,2640.60433567378,1287.58404054216
2009,"AAPI & AI","35-39","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",20,135.756606895059,14732.2479969319
2009,"AAPI & AI","35-39","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",4,135.756606895059,2946.44959938637
2009,"AAPI & AI","35-39","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",84,870.252524715818,9652.37073313063
2009,"AAPI & AI","35-39","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",233,870.252524715818,26773.8378668981
2009,"AAPI & AI","35-39","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",115,137.173836153594,83835.2292424291
2009,"AAPI & AI","35-39","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",38,137.173836153594,27702.0757496722
2009,"AAPI & AI","35-39","Masters",NA,"Race","Age","Education",NA,NA,"DoD",6,696.496785192871,861.454083860344
2009,"AAPI & AI","35-39","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",43,696.496785192871,6173.7542676658
2009,"AAPI & AI","35-39","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",99,418.497263882629,23656.0686398574
2009,"AAPI & AI","35-39","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",33,418.497263882629,7885.3562132858
2009,"AAPI & AI","35-39","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",117,NA,NA
2009,"AAPI & AI","35-39","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",340,NA,NA
2009,"AAPI & AI","40-44","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",69,178.897986721183,38569.4670267801
2009,"AAPI & AI","40-44","Associate",NA,"Race","Age","Education",NA,NA,"DoD",18,178.897986721183,10061.6000939426
2009,"AAPI & AI","40-44","BA",NA,"Race","Age","Education",NA,NA,"DoD",28,1752.62090858276,1597.60732414416
2009,"AAPI & AI","40-44","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",167,1752.62090858276,9528.58654043123
2009,"AAPI & AI","40-44","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",8,115.625863673735,6918.8672376743
2009,"AAPI & AI","40-44","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",20,115.625863673735,17297.1680941857
2009,"AAPI & AI","40-44","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",69,1016.58791951996,6787.41097303047
2009,"AAPI & AI","40-44","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",326,1016.58791951996,32068.0576406947
2009,"AAPI & AI","40-44","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",174,210.399951917618,82699.638671082
2009,"AAPI & AI","40-44","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",51,210.399951917618,24239.549265662
2009,"AAPI & AI","40-44","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",47,407.967471629604,11520.5263332052
2009,"AAPI & AI","40-44","Masters",NA,"Race","Age","Education",NA,NA,"DoD",5,407.967471629604,1225.58790778779
2009,"AAPI & AI","40-44","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",148,345.542169910756,42831.2411299102
2009,"AAPI & AI","40-44","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",24,345.542169910756,6945.60666971517
2009,"AAPI & AI","40-44","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",121,NA,NA
2009,"AAPI & AI","40-44","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",463,NA,NA
2009,"AAPI & AI","45-49","Associate",NA,"Race","Age","Education",NA,NA,"DoD",14,207.127860172542,6759.11004359227
2009,"AAPI & AI","45-49","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",102,207.127860172542,49244.9446033151
2009,"AAPI & AI","45-49","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",250,1547.11994614613,16159.0573906535
2009,"AAPI & AI","45-49","BA",NA,"Race","Age","Education",NA,NA,"DoD",24,1547.11994614613,1551.26950950273
2009,"AAPI & AI","45-49","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",33,135.924332586792,24278.2137472909
2009,"AAPI & AI","45-49","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",3,135.924332586792,2207.11034066281
2009,"AAPI & AI","45-49","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",109,1118.16916700375,9748.07777002805
2009,"AAPI & AI","45-49","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",539,1118.16916700375,48203.797413258
2009,"AAPI & AI","45-49","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",267,188.13549746248,141918.991153303
2009,"AAPI & AI","45-49","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",75,188.13549746248,39864.8851554222
2009,"AAPI & AI","45-49","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",74,234.48748380493,31558.1875839311
2009,"AAPI & AI","45-49","Masters",NA,"Race","Age","Education",NA,NA,"DoD",8,234.48748380493,3411.69595501958
2009,"AAPI & AI","45-49","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",209,351.007229961725,59542.933068014
2009,"AAPI & AI","45-49","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",36,351.007229961725,10256.1989973613
2009,"AAPI & AI","45-49","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",142,NA,NA
2009,"AAPI & AI","45-49","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",613,NA,NA
2009,"AAPI & AI","50-54","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",135,90.3772132470431,149373.935253991
2009,"AAPI & AI","50-54","Associate",NA,"Race","Age","Education",NA,NA,"DoD",12,90.3772132470431,13277.6831336881
2009,"AAPI & AI","50-54","BA",NA,"Race","Age","Education",NA,NA,"DoD",22,1497.82932741674,1468.79217794077
2009,"AAPI & AI","50-54","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",387,1497.82932741674,25837.3896755945
2009,"AAPI & AI","50-54","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",51,60.1604317737027,84773.3277444546
2009,"AAPI & AI","50-54","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",3,60.1604317737027,4986.6663379091
2009,"AAPI & AI","50-54","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",753,1250.30279150874,60225.411405453
2009,"AAPI & AI","50-54","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",90,1250.30279150874,7198.25634328124
2009,"AAPI & AI","50-54","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",51,202.655728695937,25165.8318904569
2009,"AAPI & AI","50-54","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",313,202.655728695937,154449.125131628
2009,"AAPI & AI","50-54","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",91,132.167177526218,68852.1928842344
2009,"AAPI & AI","50-54","Masters",NA,"Race","Age","Education",NA,NA,"DoD",6,132.167177526218,4539.70502533414
2009,"AAPI & AI","50-54","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",304,178.566432392609,170244.763210368
2009,"AAPI & AI","50-54","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",30,178.566432392609,16800.4700536547
2009,"AAPI & AI","50-54","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",127,NA,NA
2009,"AAPI & AI","50-54","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",986,NA,NA
2009,"AAPI & AI","55-59","Associate",NA,"Race","Age","Education",NA,NA,"DoD",10,69.3382414094682,14422.0559920842
2009,"AAPI & AI","55-59","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",167,69.3382414094682,240848.335067806
2009,"AAPI & AI","55-59","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",519,860.881886673455,60287.0159117268
2009,"AAPI & AI","55-59","BA",NA,"Race","Age","Education",NA,NA,"DoD",32,860.881886673455,3717.11851478855
2009,"AAPI & AI","55-59","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",56,28.4646954207169,196734.934880921
2009,"AAPI & AI","55-59","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",4,28.4646954207169,14052.4953486372
2009,"AAPI & AI","55-59","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",843,722.070429225154,116747.614343467
2009,"AAPI & AI","55-59","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",67,722.070429225154,9278.87326335977
2009,"AAPI & AI","55-59","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",37,242.749989051065,15242.0192250623
2009,"AAPI & AI","55-59","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",489,242.749989051065,201441.821650148
2009,"AAPI & AI","55-59","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",142,102.299421082708,138808.214647857
2009,"AAPI & AI","55-59","Masters",NA,"Race","Age","Education",NA,NA,"DoD",13,102.299421082708,12707.7942987474
2009,"AAPI & AI","55-59","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",349,178.240115741321,195803.283984904
2009,"AAPI & AI","55-59","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",37,178.240115741321,20758.5143479698
2009,"AAPI & AI","55-59","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",102,NA,NA
2009,"AAPI & AI","55-59","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",1145,NA,NA
2009,"AAPI & AI","60-64","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",194,62.3412845886671,311190.251019093
2009,"AAPI & AI","60-64","Associate",NA,"Race","Age","Education",NA,NA,"DoD",8,62.3412845886671,12832.5876708904
2009,"AAPI & AI","60-64","BA",NA,"Race","Age","Education",NA,NA,"DoD",18,521.912366330261,3448.85485786895
2009,"AAPI & AI","60-64","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",715,521.912366330261,136996.179076461
2009,"AAPI & AI","60-64","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",10,14.0814331500004,71015.4988734208
2009,"AAPI & AI","60-64","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",99,14.0814331500004,703053.438846866
2009,"AAPI & AI","60-64","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",965,315.487249549777,305876.069913166
2009,"AAPI & AI","60-64","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",43,315.487249549777,13629.7108873224
2009,"AAPI & AI","60-64","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",35,224.453232530022,15593.4488469969
2009,"AAPI & AI","60-64","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",592,224.453232530022,263752.049069204
2009,"AAPI & AI","60-64","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",158,46.5829093039496,339180.189388909
2009,"AAPI & AI","60-64","Masters",NA,"Race","Age","Education",NA,NA,"DoD",5,46.5829093039496,10733.5502971174
2009,"AAPI & AI","60-64","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",403,77.4146179876585,520573.517606515
2009,"AAPI & AI","60-64","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",20,77.4146179876585,25834.9140251372
2009,"AAPI & AI","60-64","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",56,NA,NA
2009,"AAPI & AI","60-64","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",1363,NA,NA
2009,"AAPI & AI","65-69","Associate",NA,"Race","Age","Education",NA,NA,"DoD",4,NA,NA
2009,"AAPI & AI","65-69","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",184,NA,NA
2009,"AAPI & AI","65-69","BA",NA,"Race","Age","Education",NA,NA,"DoD",24,NA,NA
2009,"AAPI & AI","65-69","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",728,NA,NA
2009,"AAPI & AI","65-69","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",6,NA,NA
2009,"AAPI & AI","65-69","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",121,NA,NA
2009,"AAPI & AI","65-69","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",36,NA,NA
2009,"AAPI & AI","65-69","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",1042,NA,NA
2009,"AAPI & AI","65-69","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",23,NA,NA
2009,"AAPI & AI","65-69","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",756,NA,NA
2009,"AAPI & AI","65-69","Masters",NA,"Race","Age","Education",NA,NA,"DoD",4,NA,NA
2009,"AAPI & AI","65-69","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",205,NA,NA
2009,"AAPI & AI","65-69","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",7,NA,NA
2009,"AAPI & AI","65-69","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",380,NA,NA
2009,"AAPI & AI","65-69","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",41,NA,NA
2009,"AAPI & AI","65-69","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",1601,NA,NA
2009,"AAPI & AI","70-74","Associate",NA,"Race","Age","Education",NA,NA,"DoD",6,NA,NA
2009,"AAPI & AI","70-74","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",205,NA,NA
2009,"AAPI & AI","70-74","BA",NA,"Race","Age","Education",NA,NA,"DoD",7,NA,NA
2009,"AAPI & AI","70-74","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",730,NA,NA
2009,"AAPI & AI","70-74","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",3,NA,NA
2009,"AAPI & AI","70-74","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",179,NA,NA
2009,"AAPI & AI","70-74","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",28,NA,NA
2009,"AAPI & AI","70-74","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",1211,NA,NA
2009,"AAPI & AI","70-74","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",19,NA,NA
2009,"AAPI & AI","70-74","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",1157,NA,NA
2009,"AAPI & AI","70-74","Masters",NA,"Race","Age","Education",NA,NA,"DoD",4,NA,NA
2009,"AAPI & AI","70-74","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",192,NA,NA
2009,"AAPI & AI","70-74","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",7,NA,NA
2009,"AAPI & AI","70-74","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",396,NA,NA
2009,"AAPI & AI","70-74","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",37,NA,NA
2009,"AAPI & AI","70-74","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",1636,NA,NA
2009,"AAPI & AI","75-79","Associate",NA,"Race","Age","Education",NA,NA,"DoD",1,NA,NA
2009,"AAPI & AI","75-79","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",201,NA,NA
2009,"AAPI & AI","75-79","BA",NA,"Race","Age","Education",NA,NA,"DoD",4,NA,NA
2009,"AAPI & AI","75-79","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",780,NA,NA
2009,"AAPI & AI","75-79","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",1,NA,NA
2009,"AAPI & AI","75-79","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",161,NA,NA
2009,"AAPI & AI","75-79","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",15,NA,NA
2009,"AAPI & AI","75-79","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",1491,NA,NA
2009,"AAPI & AI","75-79","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",18,NA,NA
2009,"AAPI & AI","75-79","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",1538,NA,NA
2009,"AAPI & AI","75-79","Masters",NA,"Race","Age","Education",NA,NA,"DoD",3,NA,NA
2009,"AAPI & AI","75-79","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",202,NA,NA
2009,"AAPI & AI","75-79","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",5,NA,NA
2009,"AAPI & AI","75-79","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",465,NA,NA
2009,"AAPI & AI","75-79","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",31,NA,NA
2009,"AAPI & AI","75-79","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",2055,NA,NA
2009,"AAPI & AI","80-84","Associate",NA,"Race","Age","Education",NA,NA,"DoD",2,NA,NA
2009,"AAPI & AI","80-84","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",192,NA,NA
2009,"AAPI & AI","80-84","BA",NA,"Race","Age","Education",NA,NA,"DoD",5,NA,NA
2009,"AAPI & AI","80-84","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",738,NA,NA
2009,"AAPI & AI","80-84","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",1,NA,NA
2009,"AAPI & AI","80-84","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",157,NA,NA
2009,"AAPI & AI","80-84","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",17,NA,NA
2009,"AAPI & AI","80-84","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",1735,NA,NA
2009,"AAPI & AI","80-84","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",15,NA,NA
2009,"AAPI & AI","80-84","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",2011,NA,NA
2009,"AAPI & AI","80-84","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",200,NA,NA
2009,"AAPI & AI","80-84","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",5,NA,NA
2009,"AAPI & AI","80-84","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",454,NA,NA
2009,"AAPI & AI","80-84","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",18,NA,NA
2009,"AAPI & AI","80-84","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",2369,NA,NA
2009,"AAPI & AI","85+","Associate",NA,"Race","Age","Education",NA,NA,"DoD",3,NA,NA
2009,"AAPI & AI","85+","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",305,NA,NA
2009,"AAPI & AI","85+","BA",NA,"Race","Age","Education",NA,NA,"DoD",9,NA,NA
2009,"AAPI & AI","85+","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",1247,NA,NA
2009,"AAPI & AI","85+","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",3,NA,NA
2009,"AAPI & AI","85+","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",241,NA,NA
2009,"AAPI & AI","85+","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",8,NA,NA
2009,"AAPI & AI","85+","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",3053,NA,NA
2009,"AAPI & AI","85+","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",23,NA,NA
2009,"AAPI & AI","85+","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",4115,NA,NA
2009,"AAPI & AI","85+","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",322,NA,NA
2009,"AAPI & AI","85+","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",2,NA,NA
2009,"AAPI & AI","85+","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",734,NA,NA
2009,"AAPI & AI","85+","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",16,NA,NA
2009,"AAPI & AI","85+","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",4567,NA,NA
2009,"AAPI & AI","Unknown","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",1,NA,NA
